"Jeong Saebi","정세비","-","South Korea","A","2008","t","1"
"Ryu Sarang","유사랑","-","South Korea","C","2007","t","2"
"Fuko","林 楓子","후코","Japan","C","2004","t","3"
"Choi Jungeun","최정은","-","South Korea","D","2007","t","4"
"Mai","富岡 茉衣","마이","Japan","A","2004","t","5"
"Koko","奈良井 瑚々","코코","Japan","B","2006","t","6"
"Bang Jeemin","방지민","-","South Korea","D","2005","-","7"
"Yoon Jiyoon","윤지윤","-","South Korea","C","2005","-","8"
"Kim Sujung","김수정","-","South Korea","B","2006","-","9"
"Nam Yuju","남유주","-","South Korea/Japan","B","2007","-","10"
"Son Juwon","손주원","-","South Korea","C","2006","-","11"
"Kim Gyuri","김규리","-","South Korea","C","2008","-","12"
"Yui","浜上 由衣","유이","Japan","B","2007","e","13"
"Park Yeeun","박예은","-","South Korea","D","2006","e","14"
"Kim Minsol","김민솔","-","South Korea","D","2008","e","15"
"Lingling","黄羚棱","링링","Malaysia","A","2005","e","16"
"Um Jiwon","엄지원","-","South Korea","D","2009","e","17"
"Choi Soul","최소울","-","South Korea","C","2009","e","18"
"Kim Chaeeun","김채은","-","South Korea","D","2007","e","19"
"Oh Yuna","오유나","-","South Korea","A","2009","e","20"
"Nana","田端 那菜","나나","Japan","B","2006","e","21"
"Kang Jiwon","강지원","-","South Korea","C","2005","e","22"
"Yuiko","平田 結子","유이코","Japan","A","2008","e","23"
"Kim Eunchae","김은채","-","South Korea","A","2007","e","24"
